collection_name,month,day,year,count,time
Bored Ape Yacht Club,4,22,2021,30,4/22/2021
Bored Ape Yacht Club,4,22,2022,669,4/22/2022
Bored Ape Yacht Club,4,23,2021,37,4/23/2021
Bored Ape Yacht Club,4,23,2022,755,4/23/2022
Bored Ape Yacht Club,4,24,2021,53,4/24/2021
Bored Ape Yacht Club,4,24,2022,1122,4/24/2022
Bored Ape Yacht Club,4,25,2021,9,4/25/2021
Bored Ape Yacht Club,4,25,2022,1032,4/25/2022
Bored Ape Yacht Club,4,26,2021,74,4/26/2021
Bored Ape Yacht Club,4,26,2022,746,4/26/2022
Bored Ape Yacht Club,4,27,2021,47,4/27/2021
Bored Ape Yacht Club,4,27,2022,764,4/27/2022
Bored Ape Yacht Club,4,28,2021,51,4/28/2021
Bored Ape Yacht Club,4,28,2022,690,4/28/2022
Bored Ape Yacht Club,4,29,2021,70,4/29/2021
Bored Ape Yacht Club,4,29,2022,880,4/29/2022
Bored Ape Yacht Club,4,30,2021,396,4/30/2021
Bored Ape Yacht Club,4,30,2022,1095,4/30/2022
Bored Ape Yacht Club,5,1,2021,25870,5/1/2021
Bored Ape Yacht Club,5,1,2022,2077,5/1/2022
Bored Ape Yacht Club,5,2,2021,13026,5/2/2021
Bored Ape Yacht Club,5,2,2022,1433,5/2/2022
Bored Ape Yacht Club,5,3,2021,20256,5/3/2021
Bored Ape Yacht Club,5,3,2022,1044,5/3/2022
Bored Ape Yacht Club,5,4,2021,18240,5/4/2021
Bored Ape Yacht Club,5,4,2022,1228,5/4/2022
Bored Ape Yacht Club,5,5,2021,8817,5/5/2021
Bored Ape Yacht Club,5,5,2022,812,5/5/2022
Bored Ape Yacht Club,5,6,2021,3911,5/6/2021
Bored Ape Yacht Club,5,6,2022,880,5/6/2022
Bored Ape Yacht Club,5,7,2021,2668,5/7/2021
Bored Ape Yacht Club,5,7,2022,707,5/7/2022
Bored Ape Yacht Club,5,8,2021,2310,5/8/2021
Bored Ape Yacht Club,5,8,2022,1134,5/8/2022
Bored Ape Yacht Club,5,9,2021,2085,5/9/2021
Bored Ape Yacht Club,5,9,2022,1243,5/9/2022
Bored Ape Yacht Club,5,10,2021,2329,5/10/2021
Bored Ape Yacht Club,5,10,2022,928,5/10/2022
Bored Ape Yacht Club,5,11,2021,1517,5/11/2021
Bored Ape Yacht Club,5,11,2022,785,5/11/2022
Bored Ape Yacht Club,5,12,2021,2543,5/12/2021
Bored Ape Yacht Club,5,12,2022,1261,5/12/2022
Bored Ape Yacht Club,5,13,2021,2478,5/13/2021
Bored Ape Yacht Club,5,13,2022,762,5/13/2022
Bored Ape Yacht Club,5,14,2021,2129,5/14/2021
Bored Ape Yacht Club,5,14,2022,895,5/14/2022
Bored Ape Yacht Club,5,15,2021,2103,5/15/2021
Bored Ape Yacht Club,5,15,2022,456,5/15/2022
Bored Ape Yacht Club,5,16,2021,1680,5/16/2021
Bored Ape Yacht Club,5,16,2022,623,5/16/2022
Bored Ape Yacht Club,5,17,2021,2652,5/17/2021
Bored Ape Yacht Club,5,17,2022,1620,5/17/2022
Bored Ape Yacht Club,5,18,2021,1781,5/18/2021
Bored Ape Yacht Club,5,18,2022,1726,5/18/2022
Bored Ape Yacht Club,5,19,2021,1722,5/19/2021
Bored Ape Yacht Club,5,19,2022,1886,5/19/2022
